dates,daily_active_users
20180612,449
20180613,515
20180614,503
20180615,488
20180616,421
20180617,443
20180618,1283
20180619,1240
20180620,393
20180621,412
20180622,444
20180623,460
20180624,399
20180625,1235
20180626,1187
20180627,410
20180628,1219
20180629,505
20180630,1211
20180701,1225
20180702,451
20180703,438
20180704,425
20180705,426
20180706,414
20180707,457
20180708,384
20180709,422
20180710,452
20180711,426
20180712,453
20180713,470
20180714,414
20180715,407
20180716,406
20180717,368
20180718,377
20180719,346
20180720,431
20180721,506
20180722,413
20180723,439
20180724,435
20180725,413
20180726,419
20180727,466
20180728,483
20180729,491
20180730,488
20180731,448
20180801,447
20180802,512
20180803,548
20180804,555
20180805,524
20180806,505
20180807,493
20180808,506
20180809,455
20180810,372
20180811,456
20180812,470
20180813,512
20180814,444
20180815,425
20180816,459
20180817,458
20180818,498
20180819,467
20180820,471
20180821,485
20180822,459
20180823,427
20180824,485
20180825,495
20180826,455
20180827,495
20180828,467
20180829,504
20180830,496
20180831,466
20180901,465
20180902,485
20180903,466
20180904,476
20180905,533
20180906,521
20180907,533
20180908,534
20180909,554
20180910,539
20180911,474
20180912,577
20180913,503
20180914,483
20180915,432
20180916,455
20180917,482
20180918,490
20180919,518
20180920,441
20180921,534
20180922,532
20180923,566
20180924,468
20180925,488
20180926,529
20180927,644
20180928,549
20180929,564
20180930,519
20181001,483
20181002,495
20181003,484
